task_id,created_at,runner,backend_name,model,risk_level,permission_profile,total_tokens,wasted_tokens,elapsed_seconds,energy_kwh,emissions_gco2e,human_review_required,status,accepted
07a6c0a7-e8fe-42d0-a10a-8c4640cec134,2026-06-05T01:30:18.571525+00:00,local_benchmark,custom,qwen2.5-coder-7b-instruct,unknown,unknown,0,0,0.0,0.0,0.0,1,handoff_generated,0
708b2fff-2b0e-4e26-bbc0-a213dc84c4b1,2026-06-05T01:30:16.985520+00:00,local_benchmark,custom,qwen2.5-coder-7b-instruct,unknown,unknown,0,0,0.0,0.0,0.0,1,handoff_generated,0
fd71ac9f-b496-43ec-b134-bfc609642344,2026-06-05T01:30:14.013480+00:00,local_benchmark,custom,qwen2.5-coder-7b-instruct,unknown,unknown,171,0,1.3803565502166748,0.0,0.0,1,pending,0
ace110fd-d35b-440e-9155-866613ff91e6,2026-06-05T01:30:11.730635+00:00,local_benchmark,custom,qwen2.5-coder-7b-instruct,unknown,unknown,187,0,0.6933443546295166,0.0,0.0,1,pending,0
00ad0492-3e79-48be-b1f0-dc47d945b66f,2026-06-05T01:30:09.387894+00:00,local_benchmark,custom,qwen2.5-coder-7b-instruct,unknown,unknown,106,0,0.7439777851104736,0.0,0.0,1,pending,0
94a488eb-51e1-4a2c-9ef9-37e3a550020a,2026-06-05T01:30:07.256363+00:00,local_benchmark,custom,qwen2.5-coder-7b-instruct,unknown,unknown,79,0,0.5340936183929443,0.0,0.0,1,pending,0
37fdbbea-eb59-45b2-afc6-ae95ad18f4da,2026-06-05T01:28:44.091720+00:00,local_benchmark,custom,qwen2.5-coder-7b-instruct,unknown,unknown,96,0,0.9945974349975586,0.0,0.0,1,pending,0
0e7e8093-da1f-4bca-b4f8-cdffd93ea1e3,2026-06-05T01:28:42.502525+00:00,local_benchmark,custom,qwen2.5-coder-7b-instruct,unknown,unknown,0,0,0.0,0.0,0.0,1,handoff_generated,0
4c124387-a46c-4d5c-b920-24f9c08b6ad4,2026-06-05T01:28:39.536463+00:00,local_benchmark,custom,qwen2.5-coder-7b-instruct,unknown,unknown,171,0,1.3855781555175781,0.0,0.0,1,pending,0
accb4f55-0d16-4ee4-b3eb-0e0fbfc3ecca,2026-06-05T01:28:37.300357+00:00,local_benchmark,custom,qwen2.5-coder-7b-instruct,unknown,unknown,187,0,0.6365759372711182,0.0,0.0,1,pending,0
e74d1fba-0cb8-4159-94e5-a1427f9f77e5,2026-06-05T01:28:34.967526+00:00,local_benchmark,custom,qwen2.5-coder-7b-instruct,unknown,unknown,106,0,0.7299749851226807,0.0,0.0,1,pending,0
f581e57f-798a-4acd-ad02-69d353957f01,2026-06-05T01:28:32.861300+00:00,local_benchmark,custom,qwen2.5-coder-7b-instruct,unknown,unknown,79,0,0.5102944374084473,0.0,0.0,1,pending,0
